feature,importance_score
list_price,0.8339298582732162
quantity,0.15920810374396877
discount,0.005653198531388008
category_name_Mountain Bikes,0.0008038273756157525
year,9.889018172022388e-05
month,7.213857547811601e-05
category_name_Road Bikes,7.173529123140591e-05
day_of_week,5.9856007014684404e-05
quarter,3.0485267260117317e-05
category_name_Cruisers Bicycles,2.581498402787229e-05
category_name_Electric Bikes,1.8055389613136793e-05
category_name_Cyclocross Bicycles,9.979888915787246e-06
order_status,4.568733966429552e-06
store_name_Santa Cruz Bikes,3.61495104111294e-06
state_CA,2.915463733711659e-06
